Name,Population,Percent_Seniors
California,39557045.0,14.326997883689238
Florida,21299325.0,20.46442316833984
New York,19542209.0,16.43655023851193
New Jersey,8908520.0,16.145094808116276
Michigan,9995915.0,17.2115609226369
Washington,7535591.0,15.446525693870594
