,Confirmed,Country_Region,Deaths,Last_Update,Lat,Long_,Province_State,Recovered
2347,0.0,US,0.0,3/22/20 23:45,43.784415700000004,-75.44903992,New York,0.0
2348,0.0,US,0.0,3/22/20 23:45,42.91653905,-75.67266639,New York,0.0
2349,0.0,US,0.0,3/22/20 23:45,43.2516977,-78.2320066,New York,0.0
2350,0.0,US,0.0,3/22/20 23:45,43.42778894,-76.14635194,New York,0.0
2351,0.0,US,0.0,3/22/20 23:45,42.63492579,-75.03151402,New York,0.0
2352,0.0,US,0.0,3/22/20 23:45,40.71088124,-73.81684712,New York,0.0
2353,0.0,US,0.0,3/22/20 23:45,40.58582155,-74.14808598,New York,0.0
2354,0.0,US,0.0,3/22/20 23:45,42.39184015,-76.8773299,New York,0.0
2355,0.0,US,0.0,3/22/20 23:45,42.78081007,-76.82497064,New York,0.0
2356,0.0,US,0.0,3/22/20 23:45,44.4976179,-75.06550039,New York,0.0
2357,0.0,US,0.0,3/22/20 23:45,42.63505484,-77.10369919,New York,0.0
27,127.0,US,0.0,2020-03-23 23:19:34,42.60060306,-73.97723916,New York,0.0
42,2.0,US,0.0,2020-03-23 23:19:34,42.25748406,-78.02750466,New York,0.0
276,0.0,US,0.0,2020-03-23 23:19:34,40.85209301,-73.86282755,New York,0.0
281,3.0,US,1.0,2020-03-23 23:19:34,42.15903158,-75.81326086,New York,0.0
433,0.0,US,0.0,2020-03-23 23:19:34,42.24778241,-78.67923096,New York,0.0
435,0.0,US,0.0,2020-03-23 23:19:34,42.91261714,-76.55731592,New York,0.0
464,0.0,US,0.0,2020-03-23 23:19:34,42.22769210000001,-79.36691763,New York,0.0
469,2.0,US,0.0,2020-03-23 23:19:34,42.13891056,-76.7638805,New York,0.0
470,2.0,US,0.0,2020-03-23 23:19:34,42.49430041,-75.60887553,New York,0.0
575,4.0,US,0.0,2020-03-23 23:19:34,44.74530905,-73.67875352,New York,0.0
608,17.0,US,0.0,2020-03-23 23:19:34,42.24819348,-73.63089095,New York,0.0
637,2.0,US,0.0,2020-03-23 23:19:34,42.59509207,-76.07048931,New York,0.0
759,1.0,US,0.0,2020-03-23 23:19:34,42.19837623,-74.96709306,New York,0.0
832,100.0,US,1.0,2020-03-23 23:19:34,41.76486060000001,-73.74356679,New York,0.0
882,87.0,US,0.0,2020-03-23 23:19:34,42.76249024,-78.73063652,New York,0.0
890,3.0,US,0.0,2020-03-23 23:19:34,44.11630765,-73.77297842,New York,0.0
972,0.0,US,0.0,2020-03-23 23:19:34,44.59040891,-74.29926032,New York,0.0
999,1.0,US,0.0,2020-03-23 23:19:34,43.11363907,-74.41798804,New York,0.0
